Sl.No,pH,Temperature,Taste,Odour,Fat,Turbidity,Colour,Grade
548,3,40,1,1,1,1,255,low
549,9,43,1,0,1,1,250,low
550,4.7,38,1,0,1,0,255,low
551,3,40,1,1,1,1,255,low
552,9,43,1,0,1,1,250,low
553,4.5,38,0,1,1,1,255,low
554,5.5,45,1,0,1,1,250,low
555,4.5,60,0,1,1,1,250,low
556,8.1,66,1,0,1,1,255,low
557,5.6,50,0,1,1,1,255,low
558,7.4,90,1,0,1,1,255,low
559,6.8,50,0,0,1,0,255,low
560,6.7,50,1,1,1,0,245,low
561,8.6,55,0,1,0,0,255,low
562,7.4,65,0,0,0,0,255,low
563,3,40,1,0,0,0,255,low
564,9,43,1,1,1,1,248,low
565,9.5,34,1,1,0,1,255,low
566,5.5,45,1,0,1,1,250,low
567,4.5,60,0,1,1,1,250,low
568,8.1,66,1,0,1,1,255,low
569,5.6,50,0,1,1,1,255,low
570,8.6,55,0,1,1,1,255,low
571,7.4,90,1,0,1,1,255,low
572,3,40,1,1,1,1,255,low
573,9,43,1,0,1,1,250,low
574,8.6,55,0,1,1,1,255,low
575,4.7,38,1,0,1,0,255,low
576,3,40,1,1,1,1,255,low
577,9,43,1,0,1,1,250,low
578,5.5,45,1,0,1,1,250,low
579,4.5,60,0,1,1,1,250,low
580,8.1,66,1,0,1,1,255,low
581,5.6,50,0,1,1,1,255,low
582,8.6,55,0,1,1,1,255,low
583,7.4,90,1,0,1,1,255,low
584,3,40,1,1,1,1,255,low
585,9,43,1,0,1,1,250,low
586,8.6,55,0,1,1,1,255,low
587,4.7,38,1,0,1,0,255,low
588,3,40,1,1,1,1,255,low
589,9,43,1,0,1,1,250,low
590,4.5,38,0,1,1,1,255,low
591,8.5,70,0,0,0,0,246,low
592,7.4,65,0,0,0,0,255,low
593,3,40,1,0,0,0,255,low
594,9,43,1,1,1,1,248,low
595,8.6,55,0,1,1,1,255,low
596,3,40,1,1,1,1,255,low
597,9,43,1,0,1,1,250,low
598,4.7,38,1,0,1,0,255,low
599,3,40,1,1,1,1,255,low
600,9,43,1,0,1,1,250,low
601,4.5,38,0,1,1,1,255,low
602,8.5,70,0,0,0,0,246,low
603,6.5,37,0,1,1,1,245,low
604,7.4,65,0,0,0,0,255,low
605,3,40,1,0,0,0,255,low
606,9,43,1,1,1,1,248,low
607,6.6,50,0,0,0,1,250,low
608,6.6,50,0,0,0,0,255,low
609,9,43,1,1,1,1,248,low
610,6.6,50,0,0,0,1,250,low
611,9.5,34,1,1,0,1,255,low
612,5.5,45,1,0,1,1,250,low
613,8.1,66,1,0,1,1,255,low
614,3,40,1,1,1,1,255,low
615,8.6,55,0,1,1,1,255,low
616,6.8,55,0,0,0,1,255,low
617,4.7,38,1,0,1,0,255,low
618,9,43,1,0,1,1,250,low
619,4.5,38,0,1,1,1,255,low
620,6.5,50,1,0,1,0,246,low
621,7.4,65,0,0,0,0,255,low
622,3,40,1,1,1,1,255,low
623,8.6,55,0,1,1,1,255,low
624,4.7,38,1,0,1,0,255,low
625,3,40,1,1,1,1,255,low
626,9,43,1,0,1,1,250,low
627,5.5,45,1,0,1,1,250,low
628,8.1,66,1,0,1,1,255,low
629,5.6,50,0,1,1,1,255,low
630,8.6,55,0,1,1,1,255,low
631,6.7,50,1,1,1,0,245,low
632,8.6,55,0,1,0,0,255,low
633,7.4,65,0,0,0,0,255,low
634,3,40,1,0,0,0,255,low
635,9,43,1,1,1,1,248,low
636,9.5,34,1,1,0,1,255,low
637,5.5,45,1,0,1,1,250,low
638,4.5,60,0,1,1,1,250,low
639,8.1,66,1,0,1,1,255,low
640,5.6,50,0,1,1,1,255,low
641,8.6,55,0,1,1,1,255,low
642,9,43,1,0,1,1,250,low
643,4.5,38,0,1,1,1,255,low
644,8.5,70,0,0,0,0,246,low
645,7.4,65,0,0,0,0,255,low
646,3,40,1,0,0,0,255,low
647,9,43,1,1,1,1,248,low
648,3,40,1,1,1,1,255,low
649,8.6,55,0,1,1,1,255,low
650,8.1,66,1,0,1,1,255,low
651,3,40,1,1,1,1,255,low
652,8.6,55,0,1,1,1,255,low
653,6.8,55,0,0,0,1,255,low
654,4.7,38,1,0,1,0,255,low
655,3,40,1,1,1,1,255,low
656,9,43,1,0,1,1,250,low
657,4.5,38,0,1,1,1,255,low
658,8.5,70,0,0,0,0,246,low
659,7.4,65,0,0,0,0,255,low
660,3,40,1,1,1,1,255,low
661,8.6,55,0,1,1,1,255,low
662,4.7,38,1,0,1,0,255,low
663,3,40,1,1,1,1,255,low
664,9,43,1,0,1,1,250,low
665,3,40,1,1,1,1,255,low
666,9,43,1,0,1,1,250,low
667,4.7,38,1,0,1,0,255,low
668,3,40,1,1,1,1,255,low
669,9,43,1,0,1,1,250,low
670,4.5,38,0,1,1,1,255,low
671,8.5,70,0,0,0,0,246,low
672,6.5,37,0,1,1,1,245,low
673,7.4,65,0,0,0,0,255,low
674,3,40,1,0,0,0,255,low
675,9,43,1,1,1,1,248,low
676,6.6,50,0,0,0,1,250,low
677,6.6,50,0,0,0,0,255,low
678,9,43,1,1,1,1,248,low
679,6.6,50,0,0,0,1,250,low
680,9.5,34,1,1,0,1,255,low
681,5.5,45,1,0,1,1,250,low
682,8.1,66,1,0,1,1,255,low
683,3,40,1,1,1,1,255,low
684,8.6,55,0,1,1,1,255,low
685,6.6,37,0,0,0,0,255,medium
686,6.7,45,1,1,0,0,247,medium
687,6.7,45,1,1,1,0,245,medium
688,6.5,38,1,0,0,0,255,medium
689,6.8,40,1,0,1,0,245,medium
690,6.5,36,0,0,1,0,255,medium
691,6.8,35,1,0,1,0,246,medium
692,6.6,34,0,0,0,1,240,medium
693,6.5,37,0,0,0,0,245,medium
694,6.4,45,0,1,0,0,240,medium
695,6.7,41,1,0,0,0,247,medium
696,6.8,41,0,0,0,0,255,medium
697,6.8,38,0,0,0,0,255,medium
698,6.6,45,0,0,0,1,250,medium
699,6.5,36,0,0,0,0,247,medium
700,6.6,38,0,0,0,0,255,medium
701,6.5,37,0,0,0,0,255,medium
702,6.7,45,1,1,0,0,247,medium
703,6.7,45,1,1,1,0,245,medium
704,6.8,45,0,0,1,0,255,medium
705,6.5,38,1,0,1,0,255,medium
706,6.8,45,0,0,0,1,255,medium
707,6.5,38,1,0,0,0,255,medium
708,6.8,40,1,0,1,0,245,medium
709,6.5,36,0,0,1,0,255,medium
710,6.5,35,1,0,1,0,246,medium
711,6.8,34,0,0,0,1,240,medium
712,6.5,37,0,0,0,0,245,medium
713,6.8,45,0,1,0,0,240,medium
714,6.8,41,0,0,1,0,255,medium
715,6.6,38,0,0,0,0,255,medium
716,6.5,36,0,0,0,0,247,medium
717,6.5,37,0,0,0,0,255,medium
718,6.5,37,0,0,0,0,255,medium
719,6.7,45,1,1,0,0,247,medium
720,6.7,45,1,1,1,0,245,medium
721,6.5,38,1,0,1,0,255,medium
722,6.8,45,0,0,0,1,255,medium
723,6.5,38,1,0,0,0,255,medium
724,6.8,40,1,0,1,0,245,medium
725,6.6,45,0,0,0,1,250,medium
726,6.5,36,0,0,1,0,255,medium
727,6.6,38,0,0,1,0,255,medium
728,6.8,40,1,0,1,0,245,medium
729,6.5,36,0,0,1,0,255,medium
730,6.5,35,1,0,1,0,246,medium
731,6.8,34,0,0,0,1,240,medium
732,6.5,37,0,0,0,0,245,medium
733,6.8,45,0,1,0,0,240,medium
734,6.8,41,0,0,1,0,255,medium
735,6.6,38,0,0,0,0,255,medium
736,6.5,36,0,0,0,0,247,medium
737,6.5,37,0,0,0,0,255,medium
738,6.5,37,0,0,0,0,255,medium
739,6.7,45,1,1,0,0,247,medium
740,6.7,45,1,1,1,0,245,medium
741,6.5,38,1,0,1,0,255,medium
742,6.7,41,1,0,0,0,247,medium
743,6.8,41,0,0,0,0,255,medium
744,6.8,38,0,0,0,0,255,medium
745,6.6,45,0,0,0,1,250,medium
746,6.5,36,0,0,0,0,247,medium
747,6.6,38,0,0,0,0,255,medium
748,6.5,37,0,0,0,0,255,medium
749,6.7,45,1,1,0,0,247,medium
750,6.7,45,1,1,1,0,245,medium
751,6.8,45,0,0,1,0,255,medium
752,6.5,38,1,0,1,0,255,medium
753,6.8,45,0,0,0,1,255,medium
754,6.5,38,1,0,0,0,255,medium
755,6.8,40,1,0,1,0,245,medium
756,6.5,37,0,0,0,0,255,medium
757,6.7,45,1,1,0,0,247,medium
758,6.7,45,1,1,1,0,245,medium
759,6.8,45,0,0,1,0,255,medium
760,6.5,38,1,0,1,0,255,medium
761,6.8,45,0,0,0,1,255,medium
762,6.5,38,1,0,0,0,255,medium
763,6.8,40,1,0,1,0,245,medium
764,6.5,36,0,0,1,0,255,medium
765,6.5,35,1,0,1,0,246,medium
766,6.8,34,0,0,0,1,240,medium
767,6.5,37,0,0,0,0,245,medium
768,6.8,45,0,1,0,0,240,medium
769,6.8,41,0,0,1,0,255,medium
770,6.6,38,0,0,0,0,255,medium
771,6.5,38,1,0,1,0,255,medium
772,6.8,45,0,0,0,1,255,medium
773,6.5,38,1,0,0,0,255,medium
774,6.8,40,1,0,1,0,245,medium
775,6.6,45,0,0,0,1,250,medium
776,6.5,36,0,0,1,0,255,medium
777,6.6,38,0,0,1,0,255,medium
778,6.8,40,1,0,1,0,245,medium
779,6.5,36,0,0,1,0,255,medium
780,6.5,35,1,0,1,0,246,medium
781,6.8,34,0,0,0,1,240,medium
782,6.5,36,0,0,0,0,247,medium
783,6.5,37,0,0,0,0,255,medium
784,6.5,37,0,0,0,0,255,medium
785,6.7,45,1,1,0,0,247,medium
786,6.7,45,1,1,1,0,245,medium
787,6.5,38,1,0,1,0,255,medium
788,6.7,41,1,0,0,0,247,medium
789,6.8,41,0,0,0,0,255,medium
790,6.8,38,0,0,0,0,255,medium
791,6.6,45,0,0,0,1,250,medium
792,6.5,36,0,0,0,0,247,medium
793,6.6,38,0,0,0,0,255,medium
794,6.5,37,0,0,0,0,255,medium
795,6.7,45,1,1,0,0,247,medium
796,6.7,45,1,1,1,0,245,medium
797,6.8,45,0,0,1,0,255,medium
798,6.5,38,1,0,1,0,255,medium
799,6.8,45,0,0,0,1,255,medium
800,6.5,38,1,0,0,0,255,medium
801,6.8,40,1,0,1,0,245,medium
802,6.5,37,0,0,0,0,255,medium
803,6.7,45,1,1,0,0,247,medium
804,6.7,45,1,1,1,0,245,medium
805,6.8,45,0,0,1,0,255,medium
806,6.5,38,1,0,1,0,255,medium
807,6.8,45,0,0,0,1,255,medium
808,6.5,38,1,0,0,0,255,medium
809,6.8,40,1,0,1,0,245,medium
810,6.5,36,0,0,1,0,255,medium
811,6.5,35,1,0,1,0,246,medium
812,6.8,34,0,0,0,1,240,medium
813,6.5,37,0,0,0,0,245,medium
814,6.8,45,0,1,0,0,240,medium
815,6.8,41,0,0,1,0,255,medium
816,6.6,38,0,0,0,0,255,medium
817,6.5,38,1,0,1,0,255,medium
818,6.8,45,0,0,0,1,255,medium
819,6.5,38,1,0,0,0,255,medium
820,6.8,40,1,0,1,0,245,medium
821,6.6,45,0,0,0,1,250,medium
822,6.5,36,0,0,1,0,255,medium
823,6.5,38,1,0,0,0,255,medium
824,6.8,40,1,0,1,0,245,medium
825,6.5,36,0,0,1,0,255,medium
826,6.5,35,1,0,1,0,246,medium
827,6.8,34,0,0,0,1,240,medium
828,6.5,37,0,0,0,0,245,medium
829,6.8,45,0,1,0,0,240,medium
830,6.8,41,0,0,1,0,255,medium
831,6.6,38,0,0,0,0,255,medium
832,6.5,36,0,0,0,0,247,medium
833,6.5,37,0,0,0,0,255,medium
834,6.5,37,0,0,0,0,255,medium
835,6.7,45,1,1,0,0,247,medium
836,6.7,45,1,1,1,0,245,medium
837,6.5,38,1,0,1,0,255,medium
838,6.8,45,0,0,0,1,255,medium
839,6.5,38,1,0,0,0,255,medium
840,6.8,40,1,0,1,0,245,medium
841,6.6,45,0,0,0,1,250,medium
842,6.5,36,0,0,1,0,255,medium
843,6.6,38,0,0,1,0,255,medium
844,6.8,40,1,0,1,0,245,medium
845,6.5,36,0,0,1,0,255,medium
846,6.5,35,1,0,1,0,246,medium
847,6.5,37,0,0,0,0,255,medium
848,6.5,37,0,0,0,0,255,medium
849,6.7,45,1,1,0,0,247,medium
850,6.7,45,1,1,1,0,245,medium
851,6.5,38,1,0,1,0,255,medium
852,6.8,45,0,0,0,1,255,medium
853,6.5,38,1,0,0,0,255,medium
854,6.8,40,1,0,1,0,245,medium
855,6.6,45,0,0,0,1,250,medium
856,6.5,36,0,0,1,0,255,medium
857,6.6,38,0,0,1,0,255,medium
858,6.8,40,1,0,1,0,245,medium
859,6.5,36,0,0,1,0,255,medium
860,6.5,35,1,0,1,0,246,medium
861,6.8,34,0,0,0,1,240,medium
862,6.5,37,0,0,0,0,245,medium
863,6.8,45,0,1,0,0,240,medium
864,6.8,41,0,0,1,0,255,medium
865,6.6,38,0,0,0,0,255,medium
866,6.5,36,0,0,0,0,247,medium
867,6.5,37,0,0,0,0,255,medium
868,6.5,37,0,0,0,0,255,medium
869,6.7,45,1,1,0,0,247,medium
870,6.7,45,1,1,1,0,245,medium
871,6.5,38,1,0,1,0,255,medium
872,6.7,41,1,0,0,0,247,medium
873,6.6,45,0,1,0,0,255,medium
874,6.8,41,0,0,0,0,255,medium
875,6.8,38,0,0,0,0,255,medium
876,6.5,36,0,0,0,0,247,medium
877,6.6,38,0,0,0,0,255,medium
878,6.5,37,0,0,0,0,255,medium
879,6.5,40,1,0,0,0,250,medium
880,6.7,45,1,1,0,0,247,medium
881,6.5,38,1,0,0,0,255,medium
882,6.8,40,1,0,1,0,245,medium
883,6.5,36,0,0,1,0,255,medium
884,6.8,34,0,0,0,1,240,medium
885,6.5,37,0,0,0,0,245,medium
886,6.8,45,0,1,0,0,240,medium
887,6.8,41,0,0,1,0,255,medium
888,6.6,38,0,0,0,0,255,medium
889,6.5,38,1,0,1,0,255,medium
890,6.8,41,0,0,1,0,255,medium
891,6.6,38,0,0,0,0,255,medium
892,6.5,36,0,0,0,0,247,medium
893,6.5,37,0,0,0,0,255,medium
894,6.5,37,0,0,0,0,255,medium
895,6.7,45,1,1,0,0,247,medium
896,6.7,45,1,1,1,0,245,medium
897,6.5,38,1,0,1,0,255,medium
898,6.7,41,1,0,0,0,247,medium
899,6.6,45,0,1,0,0,255,medium
900,6.8,41,0,0,0,0,255,medium
901,6.8,38,0,0,0,0,255,medium
902,6.5,36,0,0,0,0,247,medium
903,6.6,38,0,0,0,0,255,medium
904,6.5,37,0,0,0,0,255,medium
905,6.5,40,1,0,0,0,250,medium
906,6.7,45,1,1,0,0,247,medium
907,6.5,38,1,0,0,0,255,medium
908,6.8,40,1,0,1,0,245,medium
909,6.5,36,0,0,1,0,255,medium
910,6.8,34,0,0,0,1,240,medium
911,6.5,37,0,0,0,0,245,medium
912,6.8,45,0,1,0,0,240,medium
913,6.8,41,0,0,1,0,255,medium
914,6.6,38,0,0,0,0,255,medium
915,6.8,45,0,0,0,1,255,medium
916,6.5,38,1,0,0,0,255,medium
917,6.8,40,1,0,1,0,245,medium
918,6.5,37,0,0,0,0,255,medium
919,6.7,45,1,1,0,0,247,medium
920,6.7,45,1,1,1,0,245,medium
921,6.8,45,0,0,1,0,255,medium
922,6.5,38,1,0,1,0,255,medium
923,6.8,45,0,0,0,1,255,medium
924,6.5,38,1,0,0,0,255,medium
925,6.8,40,1,0,1,0,245,medium
926,6.5,36,0,0,1,0,255,medium
927,6.5,35,1,0,1,0,246,medium
928,6.8,34,0,0,0,1,240,medium
929,6.5,37,0,0,0,0,245,medium
930,6.8,45,0,1,0,0,240,medium
931,6.8,41,0,0,1,0,255,medium
932,6.6,38,0,0,0,0,255,medium
933,6.5,38,1,0,1,0,255,medium
934,6.8,45,0,0,0,1,255,medium
935,6.5,38,1,0,0,0,255,medium
936,6.8,40,1,0,1,0,245,medium
937,6.6,45,0,0,0,1,250,medium
938,6.5,36,0,0,1,0,255,medium
939,6.5,38,1,0,0,0,255,medium
940,6.8,40,1,0,1,0,245,medium
941,6.5,36,0,0,1,0,255,medium
942,6.7,45,1,1,0,0,247,medium
943,6.7,45,1,1,1,0,245,medium
944,6.5,38,1,0,1,0,255,medium
945,6.7,41,1,0,0,0,247,medium
946,6.8,41,0,0,0,0,255,medium
947,6.8,38,0,0,0,0,255,medium
948,6.6,45,0,0,0,1,250,medium
949,6.5,36,0,0,0,0,247,medium
950,6.6,38,0,0,0,0,255,medium
951,6.5,37,0,0,0,0,255,medium
952,6.7,45,1,1,0,0,247,medium
953,6.7,45,1,1,1,0,245,medium
954,6.8,45,0,0,1,0,255,medium
955,6.5,38,1,0,1,0,255,medium
956,6.8,45,0,0,0,1,255,medium
957,6.5,38,1,0,0,0,255,medium
958,6.8,40,1,0,1,0,245,medium
959,6.5,37,0,0,0,0,255,medium
960,6.7,45,1,1,0,0,247,medium
961,6.7,45,1,1,1,0,245,medium
962,6.8,45,0,0,1,0,255,medium
963,6.5,38,1,0,1,0,255,medium
964,6.8,45,0,0,0,1,255,medium
965,6.5,38,1,0,0,0,255,medium
966,6.8,40,1,0,1,0,245,medium
967,6.5,36,0,0,1,0,255,medium
968,6.5,35,1,0,1,0,246,medium
969,6.8,34,0,0,0,1,240,medium
970,6.5,37,0,0,0,0,245,medium
971,6.8,45,0,1,0,0,240,medium
972,6.8,41,0,0,1,0,255,medium
973,6.6,38,0,0,0,0,255,medium
974,6.5,38,1,0,1,0,255,medium
975,6.6,40,0,0,0,0,255,medium
976,6.8,45,0,0,0,1,255,medium
977,6.5,38,1,0,0,0,255,medium
978,6.8,40,1,0,1,0,245,medium
979,6.5,36,0,0,1,0,255,medium
980,6.5,38,1,0,0,0,255,medium
981,6.8,40,1,0,1,0,245,medium
982,6.5,36,0,0,1,0,255,medium
983,6.5,35,1,0,1,0,246,medium
984,6.8,34,0,0,0,1,240,medium
985,6.8,45,0,1,0,0,240,medium
986,6.8,41,0,0,1,0,255,medium
987,6.6,38,0,0,0,0,255,medium
988,6.5,36,0,0,0,0,247,medium
989,6.6,40,1,0,0,0,255,medium
990,6.5,36,0,0,0,0,247,medium
991,6.6,38,0,0,0,0,255,medium
992,6.5,37,0,0,0,0,255,medium
993,6.5,40,1,0,0,0,250,medium
994,6.7,45,1,1,0,0,247,medium
995,6.5,38,1,0,0,0,255,medium
996,6.8,40,1,0,1,0,245,medium
997,6.5,36,0,0,1,0,255,medium
998,6.8,45,0,1,0,0,240,medium
999,6.8,41,0,0,1,0,255,medium
1000,6.6,38,0,0,0,0,255,medium
1001,6.6,43,0,0,1,0,250,medium
1002,6.8,45,0,0,0,1,255,medium
1003,6.5,38,1,0,0,0,255,medium
1004,6.8,40,1,0,1,0,245,medium
1005,6.5,37,0,0,0,0,255,medium
1006,6.5,40,0,0,1,0,250,medium
1007,6.7,45,1,1,0,0,247,medium
1008,6.7,45,1,1,1,0,245,medium
1009,6.7,41,1,0,0,0,247,medium
1010,6.8,41,0,0,0,0,255,medium
1011,6.8,38,0,0,0,0,255,medium
1012,6.6,45,0,0,0,1,250,medium
1013,6.5,36,0,0,0,0,247,medium
1014,6.5,37,0,0,0,0,255,medium
1015,6.7,45,1,1,0,0,247,medium
1016,6.7,45,1,1,1,0,245,medium
1017,6.6,45,1,0,0,1,255,medium
1018,6.8,40,1,0,1,0,245,medium
1019,6.5,36,0,0,1,0,255,medium
1020,6.5,35,1,0,1,0,246,medium
1021,6.8,34,0,0,0,1,240,medium
1022,6.5,37,0,0,0,0,245,medium
1023,6.8,45,0,1,0,0,240,medium
1024,6.6,38,0,0,0,0,255,medium
1025,6.5,38,1,0,1,0,255,medium
1026,6.5,40,1,0,0,0,250,medium
1027,6.7,45,1,1,0,0,247,medium
1028,6.5,38,1,0,0,0,255,medium
1029,6.8,40,1,0,1,0,245,medium
1030,6.5,36,0,0,1,0,255,medium
1031,6.5,45,1,0,0,0,246,medium
1032,6.8,34,0,0,0,1,240,medium
1033,6.5,37,0,0,0,0,245,medium
1034,6.8,45,0,1,0,0,240,medium
1035,6.8,41,0,0,1,0,255,medium
1036,6.6,38,0,0,0,0,255,medium
1037,6.6,43,0,0,0,1,250,medium
1038,6.8,45,0,0,0,1,255,medium
1039,6.5,38,1,0,0,0,255,medium
1040,6.8,40,1,0,1,0,245,medium
1041,6.5,37,0,0,0,0,255,medium
1042,6.8,40,1,0,1,0,245,medium
1043,6.5,36,0,0,1,0,255,medium
1044,6.5,38,1,0,0,0,255,medium
1045,6.8,40,1,0,1,0,245,medium
1046,6.5,36,0,0,1,0,255,medium
1047,6.5,35,1,0,1,0,246,medium
1048,6.8,34,0,0,0,1,240,medium
1049,6.8,45,0,1,0,0,240,medium
1050,6.8,41,0,0,1,0,255,medium
1051,6.6,38,0,0,0,0,255,medium
1052,6.5,36,0,0,0,0,247,medium
1053,6.6,40,1,0,0,0,255,medium
1054,6.5,36,0,0,0,0,247,medium
1055,6.6,38,0,0,0,0,255,medium
1056,6.5,37,0,0,0,0,255,medium
1057,6.5,40,1,0,0,0,250,medium
1058,6.7,45,1,1,0,0,247,medium
